Node A,Node B,Distance
1,128,3241
128,129,691
129,130,2650
130,6,6242
130,131,6757
131,132,1627
132,14,18
132,133,681
133,99,108
133,127,5812
127,124,3305
124,123,4626
123,122,3033
122,11,205
122,115,6142
115,114,2254
114,108,928
108,109,237
109,15,59
123,125,7054
125,126,302
126,2,67
109,110,10146
110,111,4440
110,103,5981
103,104,5056
104,105,79
105,106,18
106,12,13
105,107,5466
124,116,10803
116,117,4836
117,3,59
117,118,1123
118,119,3885
119,120,8230
120,121,1470
121,4,1159
121,113,10830
113,112,10293
108,101,17997
101,13,56
13,102,560
101,5,26111
