,1,2,3,4,5,6,11,12,13,14,15,99,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133
1,0.0,26426.0,38534.0,52278.0,83927.0,12824.0,30700.0,61349.0,57872.0,13056.0,40115.0,13827.0,57816.0,58432.0,56183.0,61239.0,61318.0,61336.0,66784.0,39819.0,40056.0,50202.0,54559.0,56676.0,61949.0,38891.0,36637.0,33639.0,38475.0,39598.0,43483.0,49649.0,51119.0,30495.0,27462.0,22836.0,26057.0,26359.0,19531.0,3241.0,3932.0,6582.0,11411.0,13038.0,13719.0
2,26426.0,0.0,27747.0,41491.0,63888.0,30619.0,10661.0,41310.0,37833.0,16011.0,20076.0,15420.0,37777.0,38393.0,36144.0,41200.0,41279.0,41297.0,46745.0,19780.0,20017.0,30163.0,34520.0,45889.0,51162.0,18852.0,16598.0,22852.0,27688.0,28811.0,32696.0,38862.0,40332.0,10456.0,7423.0,12049.0,369.0,67.0,9500.0,23185.0,23876.0,24377.0,17620.0,15993.0,15312.0
3,38534.0,27747.0,0.0,13862.0,67772.0,40122.0,23562.0,36089.0,41717.0,25514.0,23960.0,24923.0,41661.0,42277.0,40028.0,36137.0,36058.0,36076.0,30592.0,23664.0,23901.0,34047.0,38404.0,18260.0,23533.0,22736.0,20482.0,4895.0,59.0,1182.0,5067.0,11233.0,12703.0,23357.0,20324.0,15698.0,27378.0,27680.0,19003.0,35293.0,34602.0,33880.0,27123.0,25496.0,24815.0
4,52278.0,41491.0,13862.0,0.0,81516.0,53866.0,37306.0,38024.0,55461.0,39258.0,37704.0,38667.0,55405.0,56021.0,43128.0,38072.0,37993.0,38011.0,32527.0,37408.0,37645.0,47791.0,45104.0,22282.0,11989.0,36480.0,34226.0,18639.0,13803.0,12680.0,10859.0,2629.0,1159.0,37101.0,34068.0,29442.0,41122.0,41424.0,32747.0,49037.0,48346.0,47624.0,40867.0,39240.0,38559.0
5,83927.0,63888.0,67772.0,81516.0,0.0,85515.0,53637.0,51419.0,26167.0,70907.0,44404.0,70316.0,26111.0,26727.0,46253.0,51309.0,51388.0,51406.0,56854.0,44108.0,44345.0,52234.0,56674.0,69186.0,77392.0,45036.0,47290.0,62877.0,67713.0,68836.0,72721.0,78887.0,80357.0,53432.0,56465.0,61091.0,63519.0,63821.0,64396.0,80686.0,79995.0,79273.0,72516.0,70889.0,70208.0
6,12824.0,30619.0,40122.0,53866.0,85515.0,0.0,32288.0,62937.0,59460.0,14644.0,41703.0,15415.0,59404.0,60020.0,57771.0,62827.0,62906.0,62924.0,68372.0,41407.0,41644.0,51790.0,56147.0,58264.0,63537.0,40479.0,38225.0,35227.0,40063.0,41186.0,45071.0,51237.0,52707.0,32083.0,29050.0,24424.0,30854.0,30552.0,21119.0,9583.0,8892.0,6242.0,12999.0,14626.0,15307.0
11,30700.0,10661.0,23562.0,37306.0,53637.0,32288.0,0.0,31059.0,27582.0,17680.0,9825.0,17089.0,27526.0,28142.0,25893.0,30949.0,31028.0,31046.0,36494.0,9529.0,9766.0,19912.0,24269.0,41704.0,46977.0,8601.0,6347.0,18667.0,23503.0,24626.0,28511.0,34677.0,36147.0,205.0,3238.0,7864.0,10292.0,10594.0,11169.0,27459.0,26768.0,26046.0,19289.0,17662.0,16981.0
12,61349.0,41310.0,36089.0,38024.0,51419.0,62937.0,31059.0,0.0,25252.0,48329.0,21352.0,47738.0,25308.0,24692.0,5166.0,110.0,31.0,13.0,5497.0,21530.0,21293.0,11147.0,7142.0,17829.0,26035.0,22458.0,24712.0,40299.0,36030.0,34907.0,31022.0,38335.0,36865.0,30854.0,33887.0,38513.0,40941.0,41243.0,41818.0,58108.0,57417.0,56695.0,49938.0,48311.0,47630.0
13,57872.0,37833.0,41717.0,55461.0,26167.0,59460.0,27582.0,25252.0,0.0,44852.0,18349.0,44261.0,56.0,560.0,20086.0,25142.0,25221.0,25239.0,30687.0,18053.0,18290.0,26067.0,30507.0,43019.0,51225.0,18981.0,21235.0,36822.0,41658.0,42781.0,46666.0,52832.0,54302.0,27377.0,30410.0,35036.0,37464.0,37766.0,38341.0,54631.0,53940.0,53218.0,46461.0,44834.0,44153.0
