,1,2,3,4,5,6,11,12,13,14,15,99
1,,739750,606864,680522,1276988,61080,865351,1421315,1290067,139910,1333989,416927
2,739750,,269656,343314,621508,700468,209871,765835,634587,683326,678509,828871
3,606864,269656,,101660,806894,567582,395257,951221,819973,550440,863895,695985
4,680522,343314,101660,,880552,641240,468915,1024879,893631,624098,937553,769643
5,1276988,621508,806894,880552,,1237706,456927,278215,48989,1220564,190889,1366109
6,61080,700468,567582,641240,1237706,,826069,1382033,1250785,100628,1294707,377645
11,865351,209871,395257,468915,456927,826069,,601254,470006,808927,513928,954472
12,1421315,765835,951221,1024879,278215,1382033,601254,,291294,1364891,188302,1510436
13,1290067,634587,819973,893631,48989,1250785,470006,291294,,1233643,203968,1379188
14,139910,683326,550440,624098,1220564,100628,808927,1364891,1233643,,1277565,360503
15,1333989,678509,863895,937553,190889,1294707,513928,188302,203968,1277565,,1423110
99,416927,828871,695985,769643,1366109,377645,954472,1510436,1379188,360503,1423110,
